ann_name,accuracy
cnn1,0.9539
dnn_huConv,0.9609
dnn_conv,0.9568
cnn2,0.9665
dnn_conv2,0.9717
cnn1,0.9543
dnn_huConv,0.9624
dnn_conv,0.9607
cnn2,0.9641
dnn_conv2,0.9678
cnn1,0.9538
dnn_huConv,0.9649
dnn_conv,0.9686
cnn2,0.9644
dnn_conv2,0.9746
cnn1,0.9569
dnn_huConv,0.9641
dnn_conv,0.9618
cnn2,0.959
dnn_conv2,0.9699
cnn1,0.9607
dnn_huConv,0.9659
dnn_conv,0.9668
cnn2,0.9536
dnn_conv2,0.9644
cnn1,0.9594
dnn_huConv,0.9726
dnn_conv,0.9698
cnn2,0.962
dnn_conv2,0.9709
cnn1,0.9469
dnn_huConv,0.9622
dnn_conv,0.9614
cnn2,0.9619
dnn_conv2,0.9689
cnn1,0.9658
dnn_huConv,0.9736
dnn_conv,0.9731
cnn2,0.9685
dnn_conv2,0.9759
cnn1,0.9447
dnn_huConv,0.9632
dnn_conv,0.9695
cnn2,0.9635
dnn_conv2,0.9692
cnn1,0.9579
dnn_huConv,0.9667
dnn_conv,0.9654
cnn2,0.9652
dnn_conv2,0.9675
cnn1,0.9493
dnn_huConv,0.9617
dnn_conv,0.9611
cnn2,0.9639
dnn_conv2,0.9696
cnn1,0.9629
dnn_huConv,0.9652
dnn_conv,0.9649
cnn2,0.9622
dnn_conv2,0.9684
cnn1,0.9366
dnn_huConv,0.9582
dnn_conv,0.9563
cnn2,0.9596
dnn_conv2,0.9701
cnn1,0.9333
dnn_huConv,0.9597
dnn_conv,0.952
cnn2,0.9606
dnn_conv2,0.9718
cnn1,0.925
dnn_huConv,0.9598
dnn_conv,0.9609
cnn2,0.9589
dnn_conv2,0.9667
cnn1,0.9598
dnn_huConv,0.971
dnn_conv,0.9712
cnn2,0.9552
dnn_conv2,0.9664
cnn1,0.965
dnn_huConv,0.9673
dnn_conv,0.9741
cnn2,0.9565
dnn_conv2,0.9668
cnn1,0.9525
dnn_huConv,0.9605
dnn_conv,0.9607
cnn2,0.9619
dnn_conv2,0.9751
cnn1,0.9639
dnn_huConv,0.9684
dnn_conv,0.9698
cnn2,0.9553
dnn_conv2,0.9716
cnn1,0.9484
dnn_huConv,0.9607
dnn_conv,0.9586
cnn2,0.9625
dnn_conv2,0.9704
cnn1,0.9576
dnn_huConv,0.9668
dnn_conv,0.9654
cnn2,0.9571
dnn_conv2,0.9709
cnn1,0.9568
dnn_huConv,0.9632
dnn_conv,0.9666
cnn2,0.9662
dnn_conv2,0.9769
cnn1,0.9616
dnn_huConv,0.9696
dnn_conv,0.9696
cnn2,0.9556
dnn_conv2,0.9662
cnn1,0.9642
dnn_huConv,0.9659
dnn_conv,0.9676
cnn2,0.9628
dnn_conv2,0.9682
cnn1,0.9444
dnn_huConv,0.9589
dnn_conv,0.9565
cnn2,0.9638
dnn_conv2,0.9735
cnn1,0.9586
dnn_huConv,0.9632
dnn_conv,0.9636
cnn2,0.9626
dnn_conv2,0.9675
cnn1,0.9495
dnn_huConv,0.9623
dnn_conv,0.9609
cnn2,0.959
dnn_conv2,0.9691
cnn1,0.9632
dnn_huConv,0.9655
dnn_conv,0.9679
cnn2,0.9592
dnn_conv2,0.9663
cnn1,0.9048
dnn_huConv,0.9376
dnn_conv,0.9396
cnn2,0.9682
dnn_conv2,0.9747
cnn1,0.9607
dnn_huConv,0.966
dnn_conv,0.9674
cnn2,0.966
dnn_conv2,0.976
cnn1,0.96
dnn_huConv,0.9678
dnn_conv,0.9684
cnn2,0.9674
dnn_conv2,0.969
cnn1,0.9616
